Brand,Product Name,Current Price,Original Price,Discount (%),Rating,Reviews,Breadcrumbs,Product URL
Mamaearth,Moisture Matte cinnamon Nude,226,349,35,4.3,10.7k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-long-stay-mini-lipstick---07-g---04-cinnamon-nude/31082031/buy
Pilgrim,Matte Bullet Lipstick - 31,417,595,30,4.3,10.8k,Home / Personal Care / Lipstick / Pilgrim,https://www.myntra.com/lipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof--smudgeproof-lipstick---nude-kiss-31/30593162/buy
FAE BEAUTY,Lip Whip Lipstick- Revenge,338,650,48,4.4,4.7k,Home / Personal Care / Lipstick / FAE BEAUTY,https://www.myntra.com/lipstick/fae+beauty/fae-beauty-lip-whip-long-lasting-12h-non-drying-soft-matte-liquid-lipstick--10ml---revenge/31611753/buy
MARS,Brown Lip Crayon,253,279,9,4.3,19.5k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-brown-smudge-wont-budge-lip-crayon/15792264/buy
Ronzille,6 Sexy Lippes Bullet lipstick,155,299,48,3.5,97,Home / Personal Care / Lipstick / Ronzille,https://www.myntra.com/lipstick/ronzille/ronzille-sexy-lippes-set-of-6-pink-edition-mini-bullet-lipstick---2g-each/24656900/buy
Hilary Rhoda,Lipstick - 5ml- Wild Wine - 10,229,269,15,4.5,1.1k,Home / Personal Care / Lipstick / Hilary Rhoda,https://www.myntra.com/lipstick/hilary+rhoda/hilary-rhoda-touch-of-mousse-matte-finish-waterproof-liquid-lipstick---5ml--wild-wine---10/35100525/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each---8-12-/40905644/buy
ETUDE,Dear Darling Water Tint - 5,405,450,10,4.4,25.7k,Home / Personal Care / Lipstick / ETUDE,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-tint-9g---grape-ade-5/27916432/buy
SWISS BEAUTY,Stay All Day Matte Lipstick,269,299,10,3.9,108,Home / Personal Care / Lipstick / SWISS BEAUTY,https://www.myntra.com/lipstick/swiss+beauty/swiss-beauty-stay-all-day-transfer-proof--lightweight-matte-lipstick---pouty-01/37484766/buy
FACES CANADA,Comfy Matte Wow Lipstick-01,260,299,13,4.4,20.5k,Home / Personal Care / Lipstick / FACES CANADA,https://www.myntra.com/lipstick/faces+canada/faces-canada-comfy-matte-wow-liquid-lipstick---38ml---choco-couture-01/29905114/buy
Ronzille,Set Of 3 Matte Lip Crayon,250,897,72,4.4,491,Home / Personal Care / Lipstick / Ronzille,https://www.myntra.com/lipstick/ronzille/ronzille-set-of-3-long-lasting-waterproof-matte-lip-crayon---shades-1-3-6/26633200/buy
Pilgrim,Set Of 4 Lipstick-1 ml Each,372,745,50,4.4,6.5k,Home / Personal Care / Lipstick / Pilgrim,https://www.myntra.com/lipstick/pilgrim/pilgrim-set-of-4-matte-me-up-mini-hydrating-liquid-lipstick---1-ml-each-bold-mistress/31857368/buy
Mamaearth,Creamy Matte Pillow Nude,239,399,40,4.2,17.3k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---pillow-nude/28546564/buy
Lakme,Powerplay Priming Lipstick,357,650,45,4.4,237.6k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---brown-walnut/14095308/buy
Maybelline,Siren In Scarlet Lipstick,269,329,18,4.4,120.6k,Home / Personal Care / Lipstick / Maybelline,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-red-color-sensational-siren-in-scarlet-creamy-matte-lipstick-39-g/1963290/buy
Maybelline,Ultimatte Slim Lipstick,533,599,11,4.4,70.8k,Home / Personal Care / Lipstick / Maybelline,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-color-sensational-ultimatte-slim-lipstick---more-cedar/32342542/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each---4-8-/40905623/buy
SWISS BEAUTY,Matte Lipstick - Coral Red 206,206,229,10,4.3,20.4k,Home / Personal Care / Lipstick / SWISS BEAUTY,https://www.myntra.com/lipstick/swiss+beauty/swiss-beauty-pure-matte-lipstick---coral-red-206/15581118/buy
One Wish,Creamy Matte Lipstick - 13,200,299,33,3.8,802,Home / Personal Care / Lipstick / One Wish,https://www.myntra.com/lipstick/one+wish/one-wish-creamy-matte-lipstick-with-shea-butter---38-g---berry-obsessed-13/36425105/buy
Lakme,Powerplay Priming Lipstick,357,650,45,4.4,237.5k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---plum-pick/13105590/buy
MARS,Creamy Matte Lipstick-02,189,199,5,4.4,42.3k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-creamy-matte-ultra-pigmented-bullet-lipstick-32g---zesty-zumba-02/23393564/buy
MARS,Matte Muse Mousse Lipstick,281,299,6,4.4,22.8k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-matte-muse-lightweight-mousse-lipstick-3ml---empress/32051440/buy
Lakme,Forever Matte Lip Colour,301,450,33,4.4,142.3k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---nude-pink-/11131106/buy
Lakme,Forever Matte Liquid Lip,297,450,34,4.4,142.3k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---wine-glow-/11757174/buy
Pilgrim,Matte Bullet Lipstick - 11,417,595,30,4.3,10.8k,Home / Personal Care / Lipstick / Pilgrim,https://www.myntra.com/lipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof--smudgeproof-lipstick---pink-passion-11/30593161/buy
Lakme,Powerplay Priming Lipstick,357,650,45,4.4,237.6k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---roseatte-red/13105576/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each--2-6-/40905596/buy
MARS,Creamy Matte Lipstick-13,189,199,5,4.4,42.3k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-creamy-matte-ultra-pigmented-bullet-lipstick-32g--love-lavani-13/23393550/buy
MARS,16 Color Infinity Matte Lip Color Palette,289,349,17,4.4,4.6k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-16-color-infinity-matte-lip-color-palette-shade-02/16668980/buy
SWISS BEAUTY,Satin Comfort Lipstick - 04,224,249,10,4.5,1.5k,Home / Personal Care / Lipstick / SWISS BEAUTY,https://www.myntra.com/lipstick/swiss+beauty/swiss-beauty-ultra-hydrating--highly-pigmented-satin-comfort-lipstick---toasted-brown-04/34023263/buy
MARS,Lip Crayon - I am Powerful,262,279,6,4.3,19.5k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-maroon-smudge-wont-budge-lip-crayon---i-am-powerful/15792128/buy
M.A.C,MACximal Matte Lipstick - Mehr,920,1150,20,4.4,1.1k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-matte-mini-long-lasting-lipstick---mehr-608/28864136/buy
Maybelline,8Hr Lipstick - Open Late 003,599,,,4.7,787,Home / Personal Care / Lipstick / Maybelline,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-matte-8hr-serum-lipstick---open-late-003/38548289/buy
FACES CANADA,2-Pcs Lipstick- 3.8 ml Each,399,598,33,4.6,230,Home / Personal Care / Lipstick / FACES CANADA,https://www.myntra.com/lipstick/faces+canada/faces-canada-set-of-2-comfy-matte-wow-liquid-lipstick---38-ml-each---01--07/36715420/buy
M.A.C,Macximal Satin Mini Lipstick,920,1150,20,4.5,954,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-satin-richly-pigmented-long-lasting-mini-lipstick-15g---dubonnet/30269347/buy
Renee,Matte Lipstick - Plum Rush 06,165,199,17,4.2,548,Home / Personal Care / Lipstick / Renee,https://www.myntra.com/lipstick/renee/renee-very-matte-intense-color-weightless--long-lasting-lipstick---plum-rush/33601108/buy
Colors Queen,2Pcs Color Stay Lipstick-06-23,230,598,62,4.2,1.6k,Home / Personal Care / Lipstick / Colors Queen,https://www.myntra.com/lipstick/colors+queen/colors-queen-color-stay-set-of-2-non-transfer-matte-lipstick-21g--magenta06-plum-pretty23/32513345/buy
M.A.C,MACximal Matte Mini Lipstick,920,1150,20,4.5,7k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-matte-mini-lipstick-with-shea-butter---twig-twist/28864134/buy
Mamaearth,Moisture Matte Pink Tulip,226,349,35,4.3,10.7k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-long-stay-mini-lipstick---07-g---08-pink-tulip/31082020/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each--4-14-/40905625/buy
M.A.C,MACximal Matte Mini Lipstick,920,1150,20,4.5,7k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-matte-mini-lipstick-with-shea-butter---warm-teddy/28864146/buy
Mamaearth,Creamy Matte Apricot Taupe,239,399,40,4.2,17.3k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---apricot-taupe/28546552/buy
Lakme,Forever Matte Lip Colour,297,450,34,4.4,142.2k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---mauve-fling-/11131110/buy
M.A.C,MACximal Matte Mini Lipstick,1320,1650,20,4.5,7k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-matte-mini-lipstick---ruby-woo/28864142/buy
One Wish,Creamy Matte Lipstick - 11,200,299,33,3.8,801,Home / Personal Care / Lipstick / One Wish,https://www.myntra.com/lipstick/one+wish/one-wish-creamy-matte-lipstick-with-shea-butter---38-g---raisin-hell-11/36425104/buy
Parul Garg,Silk Matte Liquid Lipstick 3ml,475,595,20,4.3,2k,Home / Personal Care / Lipstick / Parul Garg,https://www.myntra.com/lipstick/parul+garg/parul-garg-smudge-proof-matte-lipstick-with-shea-butter--vitamin-e-julietrose-bright-pink-3ml/32967269/buy
M.A.C,MACximal Matte Mini Lipstick,920,1150,20,4.5,7k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-matte-mini-lipstick-with-shea-butter---diva/28864138/buy
Seven Seas,Crayon Lipstick - Grape Wine08,248,289,,4.2,1.1k,Home / Personal Care / Lipstick / Seven Seas,https://www.myntra.com/lipstick/seven+seas/seven-seas-matte-mood-non-transfer-24hrs-stay-crayon-lipstick-35-g---grape-wine-08/22214908/buy
FACES CANADA,Comfy Matte Wow Lipstick-04,260,299,13,4.4,20.5k,Home / Personal Care / Lipstick / FACES CANADA,https://www.myntra.com/lipstick/faces+canada/faces-canada-comfy-matte-wow-liquid-lipstick---38ml---plum-passion-04/29905123/buy
Parul Garg,10 Pcs Lipstick - 1.2 ml Each,990,,,4.5,1.3k,Home / Personal Care / Lipstick / Parul Garg,https://www.myntra.com/lipstick/parul+garg/parul-garg-the-ultimate-silk-matte-collection--10-signature-lip-shades/34516191/buy
Mamaearth,Creamy Matte Hibiscus Nude,335,399,16,4.2,17.3k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter--42g-hibiscus-nude/28546542/buy
Lakme,Lipstick - Burgundy Bloom,262,375,30,4.2,81.5k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-cushion-matte-lipstick-with-french-rose-oil---burgundy-bloom-cb1/13201792/buy
Soultree,Ayurvedic Lipstick - 4 g,1700,,,,,Home / Personal Care / Lipstick / Soultree,https://www.myntra.com/lipstick/soultree/soultree-ayurvedic-lipstick---4-g---cantaloupe/39467163/buy
Ronzille,6 Sexy Lippes Bullet Lipstick,155,299,48,3.8,104,Home / Personal Care / Lipstick / Ronzille,https://www.myntra.com/lipstick/ronzille/-ronzille-set-of-6-sexy-lippes-red-edition-mini-bullet-lipstick---2g-each/24656892/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each--1-6-/40905588/buy
M.A.C,Retro Matte - 121 Burnt Spice,2240,2800,20,4.6,1.9k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-retro-matte-liquid-lip-colour---121-burnt-spice-5-ml/13078578/buy
Renee,12Pcs Mini Lipsticks - 1.2 g,355,399,11,4.4,418,Home / Personal Care / Lipstick / Renee,https://www.myntra.com/lipstick/renee/renee-set-of-12-dozen-pout-mini-lipsticks-with-shea-butter--12-g-each/36733817/buy
Colors Queen,2Pcs Color Stay Lipstick-10-11,230,598,62,4.2,1.6k,Home / Personal Care / Lipstick / Colors Queen,https://www.myntra.com/lipstick/colors+queen/colors-queen-color-stay-set-of-2-non-transfer-matte-lipstick-21-g-each--hot-red-rouge/32513347/buy
M.A.C,MACximal Matte Mini Lipstick,920,1150,20,4.5,7k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-matte-mini-lipstick-with-shea-butter---velvet-teddy/28864122/buy
Mamaearth,MoistureMatte Raspberry Scarle,226,349,35,4.3,10.7k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-long-stay-mini-lipstick---07-g---raspberry-scarlet--07/31082015/buy
Lakme,Forever Matte Liquid Lip,306,450,32,4.4,142.3k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16h-liquid-lipstick-56ml---brown-espresso/11131108/buy
Soultree,Ayurvedic Lipstick - 4 g,1495,,,,,Home / Personal Care / Lipstick / Soultree,https://www.myntra.com/lipstick/soultree/soultree-ayurvedic-lipstick---4-g---massive-mauve/39467170/buy
Maybelline,Ultimatte More Rust 899,551,599,8,4.4,70.8k,Home / Personal Care / Lipstick / Maybelline,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-color-sensational-ultimatte-lipstick-more-rust-899/15990824/buy
FACES CANADA,Comfy Matte Liquid Lipstick-30,314,449,30,4.3,18.8k,Home / Personal Care / Lipstick / FACES CANADA,https://www.myntra.com/lipstick/faces+canada/faces-canada-comfy-matte-transfer-proof-liquid-lipstick-38ml---lowkey-charm-30/30068580/buy
M.A.C,MACximal Silky Matte Lipstick,2040,2550,20,4.6,827,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-silky-matte-lipstick---velvet-teddy/26367320/buy
Pilgrim,Matte Bullet Lipstick - 13,417,595,30,4.3,10.8k,Home / Personal Care / Lipstick / Pilgrim,https://www.myntra.com/lipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof-smudgeproof-lipstick--forbidden-pink-13/30593172/buy
MARS,Set of 3 Matte Lipsticks Box,348,447,22,4.4,29.5k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-set-of-3-matte-lipsticks-box---plums-03/17723158/buy
M.A.C,Macximal Satin Mini Lipstick,920,1150,20,4.6,952,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-satin-richly-pigmented-long-lasting-mini-lipstick-15g--brick-o-la/30269318/buy
Renee,4 Pcs Matte Lipstick-Berries,525,599,12,4.2,344,Home / Personal Care / Lipstick / Renee,https://www.myntra.com/lipstick/renee/renee-set-of-4-very-matte-long-lasting-lipstick---16-g---berries/32600441/buy
EOD,2-Pcs Liquid Lipstick - 3ml,182,650,72,,,Home / Personal Care / Lipstick / EOD,https://www.myntra.com/lipstick/eod/eod-set-of-2-transfer-proof-long-lasting-matte-finish-liquid-lipstick---3ml-each---7-12-/40905640/buy
M.A.C,Retro Matte Lipstick- Firewerk,2240,2800,20,4.5,4.2k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-retro-matte-lipstick---firewerk-embroidered-opulence-collection/30040188/buy
Fashion Colour,5-in-1 Lipstick Matte - 04,153,225,32,4.2,2.7k,Home / Personal Care / Lipstick / Fashion Colour,https://www.myntra.com/lipstick/fashion+colour/fashion-colour-jersy-girl-5-in-1-waterproof-long-lasting-matte-lipstick---shade-04/18924414/buy
Lakme,Forever Matte Lip Colour,301,450,33,4.4,142.3k,Home / Personal Care / Lipstick / Lakme,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---nude-hue/11757178/buy
LOreal,Infallible Laque Lipstick-635,959,999,4,4.4,945,Home / Personal Care / Lipstick / LOreal,https://www.myntra.com/lipstick/loreal/loreal-paris-infallible-laque-resistance-longwear-liquid-lipstick-4ml--worth-it-medium-635/36086403/buy
SUGAR POP,Ultrastay Lipstick- 07,181,229,21,4.2,445,Home / Personal Care / Lipstick / SUGAR POP,https://www.myntra.com/lipstick/sugar+pop/sugar-pop-ultrastay-transferproof-lipstick-with-vitamin-e-4g---ruby-red-07/30448742/buy
GLAM21,Lip Seduction Crayon Lipstick,255,319,20,4.3,2.1k,Home / Personal Care / Lipstick / GLAM21,https://www.myntra.com/lipstick/glam21/glam21-lip-seduction-non-transfer-creamy-matte-lipstick-36g---coffee-15/21669290/buy
M.A.C,MACximal Matte Lipstick,2040,2550,20,4.6,2.3k,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-matte-lipstick---whirl/26367310/buy
Mamaearth,Moisture Matte Candyfloss Pink,226,349,35,4.3,10.7k,Home / Personal Care / Lipstick / Mamaearth,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-12-hour-long-stay-mini-lipstick---07-g---03-candyfloss-pink/31082012/buy
MARS,Matte Lip & Cheek Tint - 06,284,299,5,4.6,1k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-demi-matte-finish-lip--cheek-tint-for-bold-pop-color---be-the-change-06/31370933/buy
M.A.C,Macximal Satin Lipstick,2040,2550,20,4.5,467,Home / Personal Care / Lipstick / M.A.C,https://www.myntra.com/lipstick/m.a.c/mac-macximal-satin-richly-pigmented-long-lasting-lipstick-35g---maraschino-much/30269338/buy
ETUDE,Dear Darling Lip & Cheek Tint,405,450,10,4.4,25.7k,Home / Personal Care / Lipstick / ETUDE,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-gel-lip--cheek-tint-9g---pomegranate-ade-06/32378716/buy
